"Export for HP:0000118"
"Gene","Associated diseases"
"ARID1A (8289)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614607)"
"DYSF (8291)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B (OMIM:253601), MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL O... (OMIM:606768), MIYOSHI MUSCULAR DYSTROPHY 1 (OMIM:254130)"
"COLQ (8292)","ENDPLATE ACETYLCHOLINESTERASE DEFICIENCY (OMIM:603034)"
"ADA (100)","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSO... (OMIM:102700)"
"ADAR (103)","AICARDI-GOUTIERES SYNDROME 6 (OMIM:615010), DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 (OMIM:127400)"
"PLEKHG5 (57449)","CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE I... (OMIM:615376), SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOM... (OMIM:611067)"
"ADCY1 (107)","DEAFNESS, AUTOSOMAL RECESSIVE 44 (OMIM:610154)"
"PICALM (8301)","LEUKEMIA, ACUTE MYELOID (OMIM:601626)"
"SLITRK1 (114798)","TRICHOTILLOMANIA (OMIM:613229), GILLES DE LA TOURETTE SYNDROME (OMIM:137580)"
"ADCY5 (111)","DYSKINESIA, FAMILIAL, WITH FACIAL MYOKYM... (OMIM:606703)"
"ADCY6 (112)","LETHAL CONGENITAL CONTRACTURE SYNDROME 8 (OMIM:616287)"
"BRWD3 (254065)","MENTAL RETARDATION, X-LINKED 93 (OMIM:300659)"
"GATAD2B (57459)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:615074)"
"AXIN1 (8312)","HEPATOCELLULAR CARCINOMA (OMIM:114550), CAUDAL DUPLICATION ANOMALY (OMIM:607864)"
"TBC1D24 (57465)","MYOCLONIC EPILEPSY, INFANTILE (OMIM:605021), DEAFNESS, AUTOSOMAL RECESSIVE 86 (OMIM:614617), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:615338), DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPH... (OMIM:220500), DEAFNESS, AUTOSOMAL DOMINANT 65 (OMIM:616044)"
"AXIN2 (8313)","OLIGODONTIA-COLORECTAL CANCER SYNDROME (OMIM:608615), COLORECTAL CANCER (OMIM:114500)"
"ADFN (122)","ALBINISM-DEAFNESS SYNDROME (OMIM:300700)"
"BAP1 (8314)","TUMOR PREDISPOSITION SYNDROME (OMIM:614327)"
"FZD4 (8322)","EXUDATIVE VITREORETINOPATHY 1 (OMIM:133780)"
"FZD6 (8323)","NAIL DISORDER, NONSYNDROMIC CONGENITAL, ... (OMIM:614157)"
"ADK (132)","HYPERMETHIONINEMIA DUE TO ADENOSINE KINA... (OMIM:614300)"
"SHROOM4 (57477)","STOCCO DOS SANTOS X-LINKED MENTAL RETARD... (OMIM:300434)"
"GFI1B (8328)","BLEEDING DISORDER, PLATELET-TYPE, 17 (OMIM:187900)"
"TTC8 (123016)","BARDET-BIEDL SYNDROME 8 (OMIM:615985), RETINITIS PIGMENTOSA 51 (OMIM:613464)"
"ARID1B (57492)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1... (OMIM:614562)"
"ADRA2B (151)","EPILEPSY, FAMILIAL ADULT MYOCLONIC, 2 (OMIM:607876)"
"SFTPA2 (729238)","PULMONARY FIBROSIS, IDIOPATHIC (OMIM:178500)"
"NLGN4X (57502)","AUTISM, SUSCEPTIBILITY TO, X-LINKED 2 (OMIM:300495)"
"ADSL (158)","ADENYLOSUCCINASE DEFICIENCY (OMIM:103050)"
"SLC24A4 (123041)","AMELOGENESIS IMPERFECTA, HYPOMATURATION ... (OMIM:615887)"
"AARS2 (57505)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614096), LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH O... (OMIM:615889)"
"KRT6C (286887)","PALMOPLANTAR KERATODERMA, NONEPIDERMOLYT... (OMIM:615735)"
"COG6 (57511)","SHAHEEN SYNDROME (OMIM:615328), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614576)"
"AF8T (169)","TEMPERATURE-SENSITIVE AF8 COMPLEMENT (OMIM:116950)"
"AFA (170)","ANKYLOBLEPHARON FILIFORME ADNATUM AND CL... (OMIM:106250)"
"ARHGAP31 (57514)","ADAMS-OLIVER SYNDROME (OMIM:100300)"
"AFP (174)","ALPHA-FETOPROTEIN DEFICIENCY (OMIM:615969), ALPHA-FETOPROTEIN (OMIM:104150)"
"AGA (175)","ASPARTYLGLUCOSAMINURIA (OMIM:208400)"
"ACAN (176)","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, AGGREC... (OMIM:612813), OSTEOCHONDRITIS DISSECANS, SHORT STATURE... (OMIM:165800), SPONDYLOEPIPHYSEAL DYSPLASIA, KIMBERLEY ... (OMIM:608361)"
"AGL (178)","GLYCOGEN STORAGE DISEASE III (OMIM:232400)"
"AGMX2 (179)","AGAMMAGLOBULINEMIA, X-LINKED, TYPE 2 (OMIM:300310)"
"PCDH19 (57526)","EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL... (OMIM:300088)"
"JAG1 (182)","TETRALOGY OF FALLOT (OMIM:187500), ALAGILLE SYNDROME 1 (OMIM:118450)"
"AGT (183)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"AGTR1 (185)","RENAL TUBULAR DYSGENESIS (OMIM:267430)"
"MAD1L1 (8379)","PROSTATE CANCER (OMIM:176807)"
"AGXT (189)","HYPEROXALURIA, PRIMARY, TYPE I (OMIM:259900)"
"MIB1 (57534)","LEFT VENTRICULAR NONCOMPACTION 7 (OMIM:615092)"
"NR0B1 (190)","ADRENAL HYPOPLASIA, CONGENITAL (OMIM:300200), DOSAGE-SENSITIVE SEX REVERSAL (OMIM:300018)"
"AHCY (191)","HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCY... (OMIM:613752)"
"AIC (192)","AICARDI SYNDROME (OMIM:304050)"
"WDR35 (57539)","SHORT-RIB THORACIC DYSPLASIA 7 WITH OR W... (OMIM:614091), CRANIOECTODERMAL DYSPLASIA 2 (OMIM:613610)"
"AIH3 (201)","AMELOGENESIS IMPERFECTA, HYPOPLASTIC/HYP... (OMIM:301201)"
"CC2D2A (57545)","JOUBERT SYNDROME 9 (OMIM:612285), MECKEL SYNDROME, TYPE 6 (OMIM:612284), COACH SYNDROME (OMIM:216360)"
"AK1 (203)","ADENYLATE KINASE DEFICIENCY, HEMOLYTIC A... (OMIM:612631)"
"AK2 (204)","RETICULAR DYSGENESIA (OMIM:267500)"
"PLA2G6 (8398)","NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:610217), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:256600), PARKINSON DISEASE 14, AUTOSOMAL RECESSIV... (OMIM:612953)"
"AKT1 (207)","BREAST CANCER (OMIM:114480), COWDEN SYNDROME 6 (OMIM:615109), PROTEUS SYNDROME (OMIM:176920), COLORECTAL CANCER (OMIM:114500), OVARIAN CANCEROVARIAN CANCER, EPITHELIAL... (OMIM:167000)"
"HFM1 (164045)","PREMATURE OVARIAN FAILURE 9 (OMIM:615724)"
"AKT2 (208)","HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHY... (OMIM:240900), DIABETES MELLITUS, NONINSULIN-DEPENDENT (OMIM:125853)"
"ALAD (210)","PORPHYRIA, ACUTE HEPATIC (OMIM:612740)"
"ALAS2 (212)","PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED (OMIM:300752), ANEMIA, SIDEROBLASTIC, X-LINKED (OMIM:300751)"
"ALB (213)","ANALBUMINEMIA (OMIM:616000)"
"ABCD1 (215)","ADRENOLEUKODYSTROPHY (OMIM:300100)"
"C1QTNF5 (114902)","LATE-ONSET RETINAL DEGENERATION (OMIM:605670)"
"IFT80 (57560)","ASPHYXIATING THORACIC DYSTROPHY 2 (OMIM:611263)"
"ALDH2 (217)","ALCOHOL SENSITIVITY, ACUTE (OMIM:610251), ALDEHYDE DEHYDROGENASE 2 FAMILY (OMIM:100650)"
"ALDH1A3 (220)","MICROPHTHALMIA, ISOLATED 8 (OMIM:615113)"
"ALDH3A2 (224)","SJOGREN-LARSSON SYNDROME (OMIM:270200)"
"ALDOA (226)","GLYCOGEN STORAGE DISEASE XII (OMIM:611881)"
"BFSP2 (8419)","CATARACT, AUTOSOMAL DOMINANT, MULTIPLE T... (OMIM:611597)"
"DOCK6 (57572)","ADAMS-OLIVER SYNDROME 2 (OMIM:614219)"
"ALDOB (229)","FRUCTOSE INTOLERANCE, HEREDITARY (OMIM:229600)"
"MEHMO (8422)","MEHMO SYNDROME (OMIM:300148)"
"LTBP4 (8425)","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IC (OMIM:613177)"
"KCNT1 (57582)","EPILEPSY, NOCTURNAL FRONTAL LOBE, 5 (OMIM:615005), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:614959)"
"RSPH9 (221421)","CILIARY DYSKINESIA, PRIMARY, 12 (OMIM:612650)"
"NR0B2 (8431)","OBESITY (OMIM:601665)"
"ALOX12B (242)","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESS... (OMIM:242100)"
"RAD54L (8438)","BREAST CANCER (OMIM:114480), LYMPHOMA, NON-HODGKIN, FAMILIAL (OMIM:605027)"
"ALPL (249)","HYPOPHOSPHATASIA, ADULT (OMIM:146300), HYPOPHOSPHATASIA, INFANTILE (OMIM:241500), HYPOPHOSPHATASIA, CHILDHOOD (OMIM:241510)"
"GNPAT (8443)","RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TY... (OMIM:222765)"
"ALX3 (257)","FRONTONASAL DYSPLASIA 1 (OMIM:136760)"
"CUL4B (8450)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300354)"
"AMBN (258)","AMELOGENESIS IMPERFECTA, TYPE IF (OMIM:616270)"
"CUL3 (8452)","PSEUDOHYPOALDOSTERONISM, TYPE IIE (OMIM:614496)"
"AMCN (261)","ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUR... (OMIM:208100)"
"FOXN1 (8456)","T-CELL IMMUNODEFICIENCY, CONGENITAL ALOP... (OMIM:601705)"
"DIP2B (57609)","MENTAL RETARDATION, FRA12A TYPE (OMIM:136630)"
"AMELX (265)","AMELOGENESIS IMPERFECTA, TYPE IE (OMIM:301200)"
"AMELY (266)","AMELOGENIN, Y-CHROMOSOMAL (OMIM:410000)"
"AMH (268)","PERSISTENT MULLERIAN DUCT SYNDROME, TYPE... (OMIM:261550)"
"AMHR2 (269)","PERSISTENT MULLERIAN DUCT SYNDROME, TYPE... (OMIM:261550)"
"AMPD1 (270)","ADENOSINE MONOPHOSPHATE DEAMINASE 1 (OMIM:102770), MYOPATHY DUE TO MYOADENYLATE DEAMINASE D... (OMIM:615511)"
"KLF11 (8462)","MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:610508)"
"AMPD2 (271)","SPASTIC PARAPLEGIA 63, AUTOSOMAL RECESSI... (OMIM:615686), PONTOCEREBELLAR HYPOPLASIA, TYPE 9 (OMIM:615809)"
"BIN1 (274)","MYOPATHY, CENTRONUCLEAR, 2 (OMIM:255200)"
"AMT (275)","GLYCINE ENCEPHALOPATHY (OMIM:605899)"
"CCCSX (100820758)","CEREBRAL-CEREBELLAR-COLOBOMA SYNDROME, X... (OMIM:300864)"
"SCA37 (103753527)","SPINOCEREBELLAR ATAXIA 37 (OMIM:615945)"
"MRXSCS (100820761)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300861)"
"ANG (283)","AMYOTROPHIC LATERAL SCLEROSIS 9 (OMIM:611895)"
"ANK1 (286)","SPHEROCYTOSIS, HEREDITARY (OMIM:182900)"
"ANK2 (287)","CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED (OMIM:600919)"
"ANK3 (288)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615493)"
"OFD1 (8481)","SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2 (OMIM:300209), JOUBERT SYNDROME 10 (OMIM:300804), RETINITIS PIGMENTOSA 23 (OMIM:300424), OROFACIODIGITAL SYNDROME I (OMIM:311200)"
"ANOP1 (289)","MICROPHTHALMIA, SYNDROMIC 4 (OMIM:301590)"
"SLC25A4 (291)","MITOCHONDRIAL DNA DEPLETION SYNDROME 12 ... (OMIM:615418), PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:609283)"
"MCFD2 (90411)","FACTOR V AND FACTOR VIII, COMBINED DEFIC... (OMIM:613625)"
"PRSS12 (8492)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:249500)"
"PPM1D (8493)","BREAST CANCER (OMIM:114480)"
"KLHL40 (131377)","NEMALINE MYOPATHY 8 (OMIM:615348)"
"UVSSA (57654)","UV-SENSITIVE SYNDROME 3 (OMIM:614640)"
"PEX3 (8504)","PEROXISOME BIOGENESIS DISORDER 10A (ZELL... (OMIM:614882)"
"CNTNAP1 (8506)","LETHAL CONGENITAL CONTRACTURE SYNDROME 7 (OMIM:616286)"
"ITGA8 (8516)","RENAL HYPODYSPLASIA/APLASIA 1 (OMIM:191830)"
"APC (324)","HEPATOCELLULAR CARCINOMA (OMIM:114550), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), FAMILIAL ADENOMATOUS POLYPOSIS 1 (OMIM:175100), COLORECTAL CANCER (OMIM:114500), DESMOID DISEASE, HEREDITARY (OMIM:135290)"
"IKBKG (8517)","INCONTINENTIA PIGMENTI (OMIM:308300), IMMUNODEFICIENCY WITHOUT ANHIDROTIC ECTO... (OMIM:300584), ECTODERMAL DYSPLASIA, HYPOHIDROTIC, WITH... (OMIM:300291), IMMUNODEFICIENCY 33 (OMIM:300636), ECTODERMAL DYSPLASIA, ANHIDROTIC, WITH I... (OMIM:300301), INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT... (OMIM:300640)"
"AIRE (326)","AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE ... (OMIM:240300)"
"IKBKAP (8518)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:223900)"
"XIAP (331)","LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, ... (OMIM:300635)"
"DGKE (8526)","NEPHROTIC SYNDROME, TYPE 7 (OMIM:615008)"
"ALS2 (57679)","PRIMARY LATERAL SCLEROSIS, JUVENILE (OMIM:606353), SPASTIC PARALYSIS, INFANTILE-ONSET ASCEN... (OMIM:607225), AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENIL... (OMIM:205100)"
"APOA1 (335)","HYPOALPHALIPOPROTEINEMIA, PRIMARY (OMIM:604091), APOLIPOPROTEIN A-I (OMIM:107680), AMYLOIDOSIS, FAMILIAL VISCERAL (OMIM:105200)"
"APOB (338)","HYPOBETALIPOPROTEINEMIA, FAMILIAL, 1 (OMIM:615558), HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT... (OMIM:144010)"
"APOC2 (344)","APOLIPOPROTEIN C-II DEFICIENCY (OMIM:207750)"
"ZSWIM6 (57688)","ACROMELIC FRONTONASAL DYSOSTOSIS (OMIM:603671)"
"APOC3 (345)","HYPERALPHALIPOPROTEINEMIA 2 (OMIM:614028)"
"APOE (348)","SEA-BLUE HISTIOCYTE DISEASE (OMIM:269600), ALZHEIMER DISEASE 2 (OMIM:104310), APOLIPOPROTEIN E (OMIM:107741), LIPOPROTEIN GLOMERULOPATHY (OMIM:611771)"
"AGPS (8540)","RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TY... (OMIM:600121)"
"APOL1 (8542)","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 4, SU... (OMIM:612551)"
"APP (351)","CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED (OMIM:605714), ALZHEIMER DISEASE (OMIM:104300)"
"APRT (353)","ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICI... (OMIM:614723)"
"AP3B1 (8546)","HERMANSKY-PUDLAK SYNDROME 2 (OMIM:608233)"
"FCN3 (8547)","IMMUNODEFICIENCY DUE TO FICOLIN 3 DEFICI... (OMIM:613860)"
"FAS (355)","AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME (OMIM:601859)"
"FASLG (356)","AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME (OMIM:601859), LUNG CANCERALVEOLAR CELL CARCINOMA, INCL... (OMIM:211980)"
"AQP2 (359)","DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOM... (OMIM:125800)"
"GBA2 (57704)","SPASTIC PARAPLEGIA 46, AUTOSOMAL RECESSI... (OMIM:614409)"
"AQP5 (362)","PALMOPLANTAR KERATODERMA, BOTHNIAN TYPE (OMIM:600231)"
"TCAP (8557)","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2G (OMIM:601954), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2... (OMIM:607487)"
"SLC7A14 (57709)","RETINITIS PIGMENTOSA 68 (OMIM:615725)"
"AR (367)","HYPOSPADIAS 1, X-LINKED (OMIM:300633), ANDROGEN INSENSITIVITY SYNDROME (OMIM:300068), PROSTATE CANCER (OMIM:176807), SPINAL AND BULBAR MUSCULAR ATROPHY, X-LI... (OMIM:313200), ANDROGEN INSENSITIVITY, PARTIAL (OMIM:312300)"
"ABCC6 (368)","ARTERIAL CALCIFICATION, GENERALIZED, OF ... (OMIM:614473), PSEUDOXANTHOMA ELASTICUM, FORME FRUSTEPS... (OMIM:177850), PSEUDOXANTHOMA ELASTICUM (OMIM:264800)"
"ARAF (369)","V-RAF MURINE SARCOMA 3611 VIRAL ONCOGENE... (OMIM:311010)"
"PRX (57716)","HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTT... (OMIM:145900), CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATI... (OMIM:614895)"
"YARS (8565)","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT IN... (OMIM:608323)"
"EPG5 (57724)","VICI SYNDROME (OMIM:242840)"
"CASK (8573)","MENTAL RETARDATION AND MICROCEPHALY WITH... (OMIM:300749), FG SYNDROME 4 (OMIM:300422)"
"MTFMT (123263)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614947)"
"ARG1 (383)","ARGININEMIA (OMIM:207800)"
"PRKRA (8575)","DYSTONIA 16 (OMIM:612067)"
"WDR19 (57728)","SHORT-RIB THORACIC DYSPLASIA 5 WITH OR W... (OMIM:614376), SENIOR-LOKEN SYNDROME 8 (OMIM:616307), CRANIOECTODERMAL DYSPLASIA 4 (OMIM:614378), NEPHRONOPHTHISIS 13 (OMIM:614377)"
"ARHGDIA (396)","NEPHROTIC SYNDROME, TYPE 8 (OMIM:615244)"
"PHOX2A (401)","FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:602078)"
"TNFSF11 (8600)","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2 (OMIM:259710)"
"ARSA (410)","METACHROMATIC LEUKODYSTROPHY (OMIM:250100)"
"ARSB (411)","MUCOPOLYSACCHARIDOSIS TYPE VI (OMIM:253200)"
"SLC25A12 (8604)","HYPOMYELINATION, GLOBAL CEREBRAL (OMIM:612949)"
"STS (412)","ICHTHYOSIS, X-LINKED (OMIM:308100)"
"ARSE (415)","CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RE... (OMIM:302950)"
"SPG16 (57760)","SPASTIC PARAPLEGIA 16, X-LINKED (OMIM:300266)"
"ARVD3 (424)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:602086)"
"ARVD4 (425)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:602087)"
"ASAH1 (427)","FARBER LIPOGRANULOMATOSIS (OMIM:228000), MYOCLONUS, HEREDITARY, WITH PROGRESSIVE ... (OMIM:159950)"
"ASCL1 (429)","CENTRAL HYPOVENTILATION SYNDROME, CONGEN... (OMIM:209880)"
"PDE8B (8622)","STRIATAL DEGENERATION, AUTOSOMAL DOMINAN... (OMIM:609161), PIGMENTED NODULAR ADRENOCORTICAL DISEASE... (OMIM:614190)"
"ASD1 (431)","ATRIAL SEPTAL DEFECT 1 (OMIM:108800)"
"RFXANK (8625)","BARE LYMPHOCYTE SYNDROME, TYPE II (OMIM:209920)"
